,text,text_clean
323,"being human (Faktum des Menschseins) in the Husserlian sense of a mundane 
",human faktum des menschseins husserlian sense mundane
324,"fact. Even Husserlian transcendental subjectivity, as Landgrebe understands 
",fact even husserlian transcendental subjectivity landgrebe understands
325,"it, is not an eidos, a pure consciousness in general, but the concrete, historical 
",eidos pure consciousness general concrete historical
326,"process of intersubjective experience in which the world is being historically 
",process intersubjective experience world historically
327,"constituted.6 Transcendental subjectivity, so understood, may be regarded as 
",constituted transcendental subjectivity understood may regarded
328,"much as consciousness as Life. H usserlian essences are thereby assigned a new 
",much consciousness life h usserlian essences thereby assigned new
329,"role: they are not entities constituting a metaphysical domain, but they are 
",role entities constituting metaphysical domain
330,"rather the horizon of possibilities of comprehension through which the actual, 
",rather horizon possibilities comprehension actual
331,"factually constituted world can be made visible in its horizons and limits. The 
",factually constituted world made visible horizons limits
332,"ultimate fact is transcendental sUbjectivity.7 In a later essay, Landgrebe 
",ultimate fact transcendental subjectivity later essay landgrebe
333,"contends that in understanding this founding domain as a field of absolute, 
",contends understanding founding domain field absolute
334,"historical experience, Husser! overcame not only the a priori - a posteriori 
",historical experience husser overcame priori posteriori
335,"distinction, but also the Cartesian tradition of rationalistic idealism. 8 
",distinction also cartesian tradition rationalistic idealism
336,"On closer examination, it seems that the opposition between Funke's 
",closer examination seems opposition funkes
337,"rejection of all facticity from the transcendental domain and Landgrebe's 
",rejection facticity transcendental domain landgrebes
338,"characterisation of the transcendental as the ultimate fact may, in a large 
",characterisation transcendental ultimate fact may large
339,"measure, be due to different ways in which they are using the terms ""fact"" and 
",measure due different ways using terms fact
340,"""facticity."" Funke is right in insisting that since all ontological claims are 
",facticity funke right insisting since ontological claims
341,"constituted, the constituting consciousness in which all such claims are to be 
",constituted constituting consciousness claims
342,"validated cannot itself be given an ontological status. Landgrebe is right in 
",validated cannot given ontological status landgrebe right
343,"insisting not only that the Cartesian notion of consciousness is overcome by 
",insisting cartesian notion consciousness overcome
344,"Husserl, but also that the Husserlian transcendental subjectivity is a field of 
",husserl also husserlian transcendental subjectivity field
